"Timestamp","What is your age?","What is your gender?","Which city do you currently reside in?","Which university did you get your bachelor's degree from?","What was your field of study?","What CGPA did you graduate with?","Did you do any online courses besides academic courses while you were enrolled in your bachelor's program?","How often did you resort to online courses each semester?","How many online courses did you do altogether?","How have these online courses helped you?","Are you currently employed?","What kind of job are you currently employed in?","What is your current monthly earning?","How long did it take you to get a job after graduation?","How satisfied are you with your current job?"
"2024/02/28 10:11:34 PM GMT+6","21 - 25","Female","Uttara","North South","Other (please specify)","3.5 - 4.0","Yes","Very Often","4 - 6","Skill development;A better understanding of academic courses","","Full-time employment","Under 20,000","Immediately after","4"
"2024/02/28 10:28:22 PM GMT+6","21 - 25","Male","Dhaka","North South University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Often","4 - 6","A better understanding of academic courses","No","","","",""
"2024/02/28 10:54:58 PM GMT+6","21 - 25","Male","Dhaka","North South University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Sometimes","1 - 3","Skill development;A better understanding of academic courses","No","","","",""
"2024/03/01 11:40:40 PM GMT+6","21 - 25","Male","Bashundhara","North South University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Very Often","1 - 3","Skill development;A better understanding of academic courses;Budget-friendly","Yes","Part-time employment","Under 20,000","Immediately after","2"
"2024/03/01 11:45:48 PM GMT+6","21 - 25","Male","DHAKA","AIUB","Science/Technology/Engineering/Math","3.5 - 4.0","No","","","","No","","","",""
"2024/03/01 11:47:54 PM GMT+6","21 - 25","Male","Dhaka","AIUB","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Often","1 - 3","Skill development;A better understanding of academic courses;Better time management;Budget-friendly","Yes","Part-time employment","Under 20,000","3-6 months","2"
"2024/03/01 11:49:43 PM GMT+6","21 - 25","Male","Dhaka","IUB","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Sometimes","1 - 3","Skill development;A better understanding of academic courses;Better time management;","Yes","Full-time employment","20,000 - 50,000","6-9 months","3"
"2024/03/01 11:53:26 PM GMT+6","21 - 25","Male","Dhaka","Nsu","Science/Technology/Engineering/Math","3.5 - 4.0","No","","","","No","","","",""
"2024/03/01 11:56:41 PM GMT+6","21 - 25","Male","Dhaka","NSU","Science/Technology/Engineering/Math","2.5 - 3.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses;Budget-friendly","Yes","Freelancing","20,000 - 50,000","6-9 months","3"
"2024/03/02 12:04:41 AM GMT+6","21 - 25","Male","Dhaka","North South University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","4 - 6","Skill development;A better understanding of academic courses;Better time management","Yes","Part-time employment","Under 20,000","Immediately after","4"
"2024/03/02 12:05:32 AM GMT+6","21 - 25","Male","Dhaka","North South University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Often","1 - 3","Skill development","Yes","Freelancing","20,000 - 50,000","1-3 months","4"
"2024/03/02 12:07:19 AM GMT+6","31 - 35","Female","Rajshahi","NSU","Science/Technology/Engineering/Math","2.0 - 2.5","Yes","Sometimes","1 - 3","A better understanding of academic courses;Better time management","Yes","Part-time employment","Under 20,000","Less than a month","2"
"2024/03/02 12:08:54 AM GMT+6","40+","Male","Kulaura","North South University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","7 - 9","A better understanding of academic courses;Budget-friendly","Yes","Part-time employment","20,000 - 50,000","Immediately after","4"
"2024/03/02 12:09:05 AM GMT+6","21 - 25","Male","Dhaka","NSU","Science/Technology/Engineering/Math","2.5 - 3.0","Yes","Often","1 - 3","Skill development;A better understanding of academic courses;Budget-friendly","Yes","Part-time employment","20,000 - 50,000","Less than a month","3"
